TIME;2000-Q2;2001-Q2;2002-Q2;2003-Q2;2004-Q2;2005-Q2;2006-Q2;2007-Q2;2008-Q2;2009-Q2;2010-Q2;2011-Q2;2012-Q2;2013-Q2;2014-Q2;2015-Q2;2016-Q2;2017-Q2;2018-Q2;2019-Q2;2023-Q2;2024-Q2
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - MILANO/LINATE airport;37,308;35,936;47,795;23,413;45,371;41,799;30,951;29,352;36,963;37,165;42,932;95,783;135,212;148,040;149,082;167,532;171,508;104,387;101,992;98,878;136,378;155,597
AMSTERDAM/SCHIPHOL airport - BOLOGNA/BORGO PANIGALE airport;37,718;33,614;34,979;31,731;14,586;40,541;43,313;45,131;45,933;43,154;33,627;44,219;44,917;44,504;47,753;49,249;53,009;56,156;63,726;63,241;54,824;66,401
AMSTERDAM/SCHIPHOL airport - VERONA/VILLAFRANCA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;35,407;23,055;:
AMSTERDAM/SCHIPHOL airport - VENEZIA/TESSERA airport;44,600;38,193;38,794;46,327;61,215;60,935;63,169;64,388;60,965;64,286;57,748;75,436;78,832;88,971;119,594;140,839;146,790;123,102;116,336;118,067;114,400;127,107
AMSTERDAM/SCHIPHOL airport - ROMA/FIUMICINO airport;147,295;138,504;130,920;149,565;165,265;187,519;188,180;184,459;189,763;189,477;212,497;255,887;255,393;269,162;272,006;307,212;298,661;297,554;285,226;283,301;184,160;200,712
AMSTERDAM/SCHIPHOL airport - NAPOLI/CAPODICHINO airport;:;:;:;:;:;:;:;:;:;:;:;:;22,595;29,509;32,731;35,339;67,650;66,690;66,248;73,558;72,848;80,705
AMSTERDAM/SCHIPHOL airport - PISA/S. GIUSTO airport;:;:;:;:;:;:;:;:;:;:;:;:;22,527;27,184;28,567;37,743;38,928;37,585;28,413;38,219;43,647;:
AMSTERDAM/SCHIPHOL airport - FIRENZE/PERETOLA airport;:;22,080;:;:;:;:;:;22,753;28,502;24,495;22,959;36,558;36,391;39,647;45,765;61,267;67,244;81,273;83,901;83,073;74,013;103,099
AMSTERDAM/SCHIPHOL airport - AMMAN/QUEEN ALIA airport;:;:;24,481;15,074;23,999;26,264;:;:;:;:;:;:;:;:;:;:;:;:;:;:;24,619;:
AMSTERDAM/SCHIPHOL airport - NARITA INTL airport;104,407;101,534;109,199;75,799;102,511;101,367;102,381;90,179;93,106;76,926;84,179;46,146;66,944;76,674;66,357;56,025;58,517;69,081;70,384;92,634;31,841;48,315
AMSTERDAM/SCHIPHOL airport - KANSAI INTL airport;57,670;50,455;52,488;37,158;51,929;50,137;55,359;49,863;50,793;40,789;46,893;45,647;49,195;55,500;57,459;50,012;45,426;47,794;50,866;54,326;:;:
AMSTERDAM/SCHIPHOL airport - SAPPORO/NEW CHITOSE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - FUKUOKA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;24,360;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - NAIROBI/JOMO KENYATTA INTL. TWR/APP/NOF/MET/CIVIL AIRLINES airport;:;:;:;:;:;:;84,624;80,161;61,924;88,563;90,720;90,084;91,195;92,182;102,070;104,546;99,021;101,040;102,907;104,068;75,849;80,790
AMSTERDAM/SCHIPHOL airport - NAIROBI ACC,FIC,RCC,COM airport;57,614;70,272;66,331;62,190;64,597;75,238;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - Unknown airport - SOUTH KOREA;:;29,411;34,287;31,329;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - INCHEON INTL airport;:;:;:;:;39,440;52,863;58,574;57,393;56,175;29,672;39,163;46,083;55,817;56,193;60,457;62,367;60,770;75,932;74,152;74,336;62,819;79,738
AMSTERDAM/SCHIPHOL airport - GIMPO airport;33,522;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - KUWAIT/INTL airport;:;:;:;:;31,316;20,542;23,447;19,923;:;:;:;21,936;:;:;:;:;:;25,193;21,929;23,442;:;:
AMSTERDAM/SCHIPHOL airport - KUWAIT/INTL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;23,161;:
AMSTERDAM/SCHIPHOL airport - ALMATY airport;:;:;:;:;:;20,785;20,386;24,849;26,524;:;:;21,672;20,251;24,534;21,924;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - BEIRUT/BEIRUT INTL airport;:;:;21,714;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - KATUNAYAKE/BANDARANAIKE INTERNATIONAL airport COLOMBO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - VILNIUS INTL airport;:;:;:;:;24,868;24,273;:;:;24,140;:;:;:;:;:;:;:;:;:;:;:;22,233;:
AMSTERDAM/SCHIPHOL airport - LUXEMBOURG airport;20,619;:;:;:;:;:;:;20,200;:;:;22,605;28,444;28,668;34,110;36,505;42,397;45,618;46,018;46,198;49,248;41,810;45,743
AMSTERDAM/SCHIPHOL airport - RIGA airport;:;:;:;:;:;26,200;26,405;28,892;26,290;40,211;:;29,043;26,585;29,501;34,312;31,951;34,579;37,617;38,865;40,820;46,777;51,895
AMSTERDAM/SCHIPHOL airport - CASABLANCA/MOHAMMED V airport;30,464;31,059;30,137;24,945;22,958;:;20,531;21,485;24,059;24,348;34,614;33,110;21,201;29,792;30,716;32,548;30,754;30,300;30,523;31,278;31,707;35,252
AMSTERDAM/SCHIPHOL airport - NADOR/EL AROUI airport;:;:;:;:;:;:;:;:;:;:;:;21,288;25,079;27,012;23,454;16,493;20,516;17,962;17,736;:;:;:
AMSTERDAM/SCHIPHOL airport - MARRAKECH/MENARA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;23,584;25,150;24,118;21,982;23,612;26,588;37,868;33,215;42,502
AMSTERDAM/SCHIPHOL airport - TANGER/IBN BATOUTA airport;:;:;:;:;:;:;:;:;:;:;:;:;19,266;20,042;18,818;12,882;12,470;17,439;16,545;15,609;19,031;:
AMSTERDAM/SCHIPHOL airport - LUQA airport;34,237;33,362;30,017;30,103;27,866;23,559;:;:;25,965;:;:;:;:;:;26,371;30,404;32,135;36,566;33,748;30,036;33,813;:
AMSTERDAM/SCHIPHOL airport - MEXICO airport;30,789;39,640;42,625;42,640;43,235;44,241;44,792;44,720;45,742;39,118;43,631;46,571;46,704;46,004;45,580;47,099;60,693;81,792;84,195;88,209;84,251;89,173
AMSTERDAM/SCHIPHOL airport - CANCUN airport;:;:;:;17,980;24,747;25,140;26,005;25,820;28,512;17,573;29,162;29,823;:;:;:;:;:;:;:;:;17,594;:
AMSTERDAM/SCHIPHOL airport - SEPANG/KL INTERNATIONAL airport;52,230;66,776;53,286;56,466;67,058;76,926;87,673;89,962;92,484;83,697;94,473;97,610;93,872;94,640;90,496;87,059;44,510;60,125;44,441;46,184;18,452;:
AMSTERDAM/SCHIPHOL airport - LAGOS/MURTALA MUHAMMED airport;28,628;36,402;42,051;42,518;43,808;45,724;40,545;42,287;45,151;39,786;40,841;43,919;39,963;40,925;43,286;47,285;48,145;45,030;44,912;45,966;45,613;34,404
AMSTERDAM/SCHIPHOL airport - MAASTRICHT/AACHEN airport;25,749;22,537;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - EINDHOVEN airport;21,355;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ALESUND/VIGRA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;24,067;25,700;25,269;27,329;25,325;29,676;:;:
AMSTERDAM/SCHIPHOL airport - BERGEN/FLESLAND airport;45,167;42,519;47,180;43,791;47,932;54,434;58,497;64,721;66,843;77,050;58,522;64,586;73,171;69,127;76,349;83,415;81,230;90,759;91,927;96,843;87,399;94,761
AMSTERDAM/SCHIPHOL airport - LUFTFARTSTILSYNET CIVIL AVIATION AUTHORITY airport;106,877;109,761;122,839;116,846;126,601;137,638;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - KRISTIANSAND/KJEVIK airport;:;:;:;:;:;:;:;22,912;26,013;25,078;19,726;30,648;35,295;35,607;35,439;36,971;36,221;37,780;36,341;39,685;32,638;:
AMSTERDAM/SCHIPHOL airport - STATFJORD B airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - OSLO/GARDERMOEN airport;:;:;:;:;:;:;156,531;159,946;163,872;149,968;132,681;164,437;162,085;164,535;168,497;169,901;181,220;186,425;185,339;190,078;177,187;185,039
AMSTERDAM/SCHIPHOL airport - SANDEFJORD/TORP airport;18,643;23,883;26,072;24,898;25,646;21,389;21,839;21,079;21,385;19,951;20,671;22,805;30,315;30,258;27,267;29,898;29,169;29,013;28,102;29,323;26,882;:
AMSTERDAM/SCHIPHOL airport - TRONDHEIM/ST. OLAVS HOSPITAL airport;:;:;:;:;20,844;22,950;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - TRONDHEIM/VAERNES airport;:;:;:;:;:;:;21,998;25,305;24,128;25,141;26,931;38,628;42,566;44,612;42,625;44,560;44,431;45,086;39,539;42,148;40,708;46,970
AMSTERDAM/SCHIPHOL airport - STAVANGER/SOLA airport;44,475;42,044;43,202;40,417;43,401;45,087;57,157;68,027;73,343;73,584;64,423;77,091;80,938;80,015;73,672;69,147;67,012;67,818;69,935;75,430;63,507;71,577
AMSTERDAM/SCHIPHOL airport - MUSCAT/MUSCAT INTL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - PANAMA/TOCUMEN airport;:;:;:;:;:;:;:;:;:;28,253;29,571;37,857;48,339;57,680;58,920;57,582;57,724;62,455;59,916;59,899;65,834;56,756
AMSTERDAM/SCHIPHOL airport - LIMA-CALLAO/INTL JORGE CHAVEZ airport;26,340;31,570;30,469;36,708;30,200;36,201;40,488;47,318;54,867;49,983;45,434;56,087;53,655;58,628;63,914;62,943;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - LIMA-CALLAO/INTL. JORGE CHAVEZ airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;71,020;69,423;70,171;69,408;57,621;53,643
AMSTERDAM/SCHIPHOL airport - MANILA/NINOY AQUINO INTL airport;:;:;:;:;:;:;55,156;55,151;63,417;63,625;59,867;62,648;38,606;38,956;41,830;39,502;42,870;36,412;33,903;34,147;:;:
AMSTERDAM/SCHIPHOL airport - MALABANG, LANAO DEL SUR airport;:;:;21,632;22,688;19,343;49,833;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - GDANSK IM LECHA WALESY airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;30,114;41,755;40,824;56,375
AMSTERDAM/SCHIPHOL airport - KRAKOW/BALICE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;32,886;34,794;45,250;52,743;48,210;73,587
AMSTERDAM/SCHIPHOL airport - WARSZAWA/CHOPINA airport;55,180;56,843;62,271;61,244;74,214;78,225;80,123;83,828;91,179;74,256;70,196;88,970;92,085;95,212;101,493;103,635;118,800;126,663;136,430;144,965;153,203;155,966
AMSTERDAM/SCHIPHOL airport - FARO airport;110,206;113,392;104,612;107,050;95,042;87,429;81,503;78,217;82,861;62,826;56,972;59,734;67,725;69,167;65,815;69,464;105,541;97,430;79,111;70,095;74,867;80,749
AMSTERDAM/SCHIPHOL airport - MADEIRA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;27,684;26,222;26,403;26,370;30,383;:
AMSTERDAM/SCHIPHOL airport - PORTO airport;25,282;:;:;:;:;:;23,850;:;:;:;:;:;:;28,565;37,697;39,260;52,714;67,911;106,732;109,745;96,887;107,852
AMSTERDAM/SCHIPHOL airport - LISBOA airport;80,091;91,016;106,909;110,745;119,220;113,246;117,898;113,871;121,223;116,389;103,154;131,557;161,498;185,802;180,860;179,349;206,049;224,989;241,742;254,143;267,631;281,199
AMSTERDAM/SCHIPHOL airport - DOHA INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - HAMAD INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;20,653;71,740;54,696;51,731;55,833;63,137;76,135
AMSTERDAM/SCHIPHOL airport - BUCURESTI/HENRI COANDA airport;45,911;47,641;55,147;53,646;56,881;71,923;73,536;79,945;80,095;68,090;76,953;87,474;93,666;103,481;113,554;113,648;121,954;120,734;134,315;134,574;112,962;124,576
AMSTERDAM/SCHIPHOL airport - BEOGRAD/NIKOLA TESLA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;29,077;32,852;40,361;54,532;51,085;50,702;58,914
AMSTERDAM/SCHIPHOL airport - SANKT-PETERBURG/PULKOVO airport;20,680;24,259;:;:;:;:;:;:;21,415;:;31,953;35,398;39,196;29,008;29,444;22,987;27,816;51,998;52,587;48,615;:;:
AMSTERDAM/SCHIPHOL airport - MOSCOW/SHEREMETYEVO airport;39,460;41,651;42,211;41,766;44,568;42,277;45,320;57,237;68,442;67,582;79,392;86,316;95,187;99,936;120,871;129,962;129,079;139,434;145,898;156,174;:;:
AMSTERDAM/SCHIPHOL airport - KIGALI INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - DAMMAM/KING FAHD INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - JEDDAH/KING ABDULAZIZ INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;20,360;:
AMSTERDAM/SCHIPHOL airport - RIYADH/KING KHALED INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - GOTEBORG/LANDVETTER airport;73,033;75,741;75,277;66,929;77,189;80,177;88,875;84,698;80,075;70,143;64,399;75,112;72,162;72,012;68,389;77,520;84,119;98,866;98,184;100,070;85,024;85,604
AMSTERDAM/SCHIPHOL airport - MALMO airport;34,482;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - STOCKHOLM/ARLANDA airport;134,148;140,303;139,335;132,740;131,434;142,847;158,580;167,187;170,233;139,199;131,739;156,887;172,825;182,234;187,502;199,924;207,890;244,063;235,999;235,260;213,124;241,410
AMSTERDAM/SCHIPHOL airport - LINKOPING/SAAB airport;:;:;:;:;:;:;:;:;:;:;19,359;23,055;27,508;29,998;33,479;36,182;37,997;39,718;38,480;39,092;33,004;:
AMSTERDAM/SCHIPHOL airport - SINGAPORE/CHANGI airport;65,774;66,804;70,087;40,713;54,063;78,741;89,983;93,477;97,690;84,982;79,973;83,496;87,594;81,282;79,659;78,166;77,175;76,225;79,518;78,677;79,714;70,762
AMSTERDAM/SCHIPHOL airport - LJUBLJANA/BRNIK airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;21,990;27,316;28,737;:;:
AMSTERDAM/SCHIPHOL airport - JOHAN ADOLF PENGEL airport;30,231;34,340;41,045;49,814;48,527;59,417;53,060;60,032;68,099;59,126;60,450;65,530;61,895;59,939;59,593;61,302;54,914;60,979;62,578;63,271;69,830;65,817
AMSTERDAM/SCHIPHOL airport - DAMASCUS/INTL airport;:;:;25,982;:;19,097;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - BANGKOK/DON MUEANG INTL airport;67,919;81,209;81,167;61,902;83,777;89,494;90,200;85,551;88,733;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - BANGKOK/SUVARNABHUMI INTL airport;:;:;:;:;:;:;:;:;:;74,549;72,820;74,096;91,794;99,317;104,184;103,050;105,677;85,584;83,404;83,073;78,323;80,709
AMSTERDAM/SCHIPHOL airport - MONASTIR/HABIB BOURGUIBA airport;23,288;24,676;:;:;:;20,472;29,910;34,055;33,732;30,574;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ENFIDHA ZINE EL ABIDINE BEN ALI airport;:;:;:;:;:;:;:;:;:;:;:;:;19,116;26,002;22,793;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ANKARA/ESENBOGA airport;21,903;16,280;16,356;17,387;15,821;19,311;15,329;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ANTALYA (MIL-CIV) airport;84,187;149,016;185,997;150,920;220,264;256,438;177,029;191,659;199,989;180,698;187,828;235,873;218,188;248,854;245,229;200,206;139,035;87,884;119,059;147,081;97,799;100,173
AMSTERDAM/SCHIPHOL airport - ISTANBUL/ATATURK airport;88,050;100,581;100,868;89,365;119,621;129,565;121,207;130,646;156,476;144,067;121,102;140,103;166,669;162,473;167,264;199,182;202,830;217,681;:;12,424;:;:
AMSTERDAM/SCHIPHOL airport - IZMIR/ADNAN MENDERES airport;21,108;35,072;37,881;28,030;42,519;51,691;28,048;33,324;32,912;35,234;41,817;45,243;44,893;43,369;51,510;45,343;35,063;27,880;33,605;35,043;40,805;35,368
AMSTERDAM/SCHIPHOL airport - MUGLA/DALAMAN airport;33,194;68,248;86,879;63,902;80,608;78,540;48,374;46,470;40,158;35,000;32,700;39,348;47,317;49,148;49,248;45,434;27,066;:;28,721;30,752;:;:
AMSTERDAM/SCHIPHOL airport - MUGLA/MILAS-BODRUM airport;18,886;46,309;77,270;69,505;90,684;89,280;56,908;59,438;55,616;42,096;48,021;61,093;72,680;82,969;70,824;64,628;46,225;26,594;36,088;34,203;:;:
AMSTERDAM/SCHIPHOL airport - GAZIPASA-ALANYA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;32,795;33,907;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ISTANBUL/SABIHA GOKCEN airport;:;:;:;:;:;:;:;:;19,285;21,701;57,451;57,120;59,015;87,993;101,084;78,958;98,918;100,199;106,242;102,341;140,122;135,298
AMSTERDAM/SCHIPHOL airport - ISTANBUL/ISTANBUL HAVALIMANI airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;218,445;218,451;205,974;231,145
AMSTERDAM/SCHIPHOL airport - TAIBEI CITY/TAIBEI INTL AP airport;46,176;42,568;40,945;19,241;35,829;38,720;33,219;34,015;33,344;26,143;31,353;40,870;37,498;37,699;36,560;42,827;40,847;62,371;63,367;65,255;35,625;45,229
AMSTERDAM/SCHIPHOL airport - DAR ES SALAAM/JULIUS NYERERE airport;:;:;:;:;:;:;:;:;15,381;16,238;17,232;16,686;17,813;17,005;16,574;19,902;:;15,781;16,038;14,147;:;:
AMSTERDAM/SCHIPHOL airport - KILIMANJARO APP, TWR, AIS, MET, CIVIL AIRLINES airport;:;:;:;:;:;14,884;16,397;18,226;20,407;16,542;19,479;21,008;20,373;19,381;19,108;18,192;19,330;20,600;22,760;21,167;18,921;:
AMSTERDAM/SCHIPHOL airport - ZANZIBAR - KISAUNI airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - KYIV/BORYSPIL airport;:;21,451;32,683;33,073;41,159;44,049;46,562;59,243;62,112;39,792;37,375;44,183;69,721;79,008;59,111;78,669;93,564;99,580;60,320;60,339;:;:
