Data extracted on 14/10/2024 15:15:52 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Air passenger transport routes between partner airports and main airports in the Netherlands [avia_par_nl__custom_13280147];;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;25/09/2024 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Passenger;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic and transport measurement;;Passengers on board;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - HURGHADA / INTL airport;202,895;;175,628;;202,381;;150,960;;128,070;;142,388;;:;;105,745;;120,164;;129,167;;:;;:;;98,034;;140,216;
AMSTERDAM/SCHIPHOL airport - MARSA ALAM / INTL airport;:;;:;;:;;:;;:;;:;;:;;90,847;;81,135;;83,244;;:;;:;;75,438;;:;
AMSTERDAM/SCHIPHOL airport - SHARM EL SHEIKH / INTL airport;114,149;;85,912;;117,071;;79,139;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ATHINAI (APP,MET) airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ATHINAI/ELEFTHERIOS VENIZELOS airport;289,316;;354,988;;200,515;;234,705;;275,617;;270,188;;340,921;;441,004;;477,825;;501,198;;211,838;;325,786;;470,978;;514,063;
AMSTERDAM/SCHIPHOL airport - IRAKLION/NIKOS KAZANTZAKIS airport;211,619;;228,281;;187,256;;220,066;;230,366;;219,892;;256,015;;282,971;;254,652;;226,626;;:;;190,720;;240,430;;233,412;
AMSTERDAM/SCHIPHOL airport - KOS/IPPOKRATIS airport;124,365;;145,430;;145,185;;174,486;;171,627;;144,480;;128,478;;187,027;;169,325;;154,928;;:;;132,656;;133,661;;138,511;
AMSTERDAM/SCHIPHOL airport - KERKIRA/IOANNIS KAPODISTRIAS airport;:;;:;;:;;:;;:;;:;;90,114;;100,803;;100,438;;79,277;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - PREVEZA/AKTION airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;75,462;
AMSTERDAM/SCHIPHOL airport - RODOS/DIAGORAS airport;86,762;;105,169;;94,874;;107,328;;111,110;;113,627;;108,796;;135,624;;124,857;;112,287;;:;;118,230;;111,923;;123,072;
AMSTERDAM/SCHIPHOL airport - THESSALONIKI/MAKEDONIA airport;:;;:;;:;;:;;:;;:;;84,203;;100,935;;121,098;;125,647;;:;;81,591;;117,301;;125,896;
AMSTERDAM/SCHIPHOL airport - ZAKINTHOS/DIONISIOS SOLOMOS airport;:;;:;;:;;:;;77,262;;87,104;;107,745;;133,750;;129,905;;125,952;;:;;120,867;;189,531;;183,199;
