Data extracted on 14/10/2024 15:15:52 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Air passenger transport routes between partner airports and main airports in the Netherlands [avia_par_nl__custom_13280147];;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;25/09/2024 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Passenger;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic and transport measurement;;Passengers on board;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRONINGEN/EELDE airport - TENERIFE SUR/REINA SOFIA airport;:;;:;;16,729;;16,134;;16,234;;16,625;;:;;:;;:;;13,734;;:;;:;;:;;:;
GRONINGEN/EELDE airport - BARCELONA/EL PRAT airport;:;;:;;13,339;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - GIRONA airport;:;;:;;:;;16,969;;18,618;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - PALMA DE MALLORCA airport;:;;:;;26,951;;30,873;;33,128;;15,691;;15,862;;15,782;;15,838;;16,756;;:;;:;;:;;:;
GRONINGEN/EELDE airport - PALMA/SON SAN JUAN (MIL) airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - MARSEILLE-PROVENCE airport;:;;:;;10,574;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - BERGAMO/ORIO AL SERIO airport;:;;:;;15,829;;20,871;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - MAASTRICHT/AACHEN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - ROTTERDAM airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - GDANSK IM LECHA WALESY airport;:;;:;;:;;:;;:;;28,481;;29,547;;31,528;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - FARO airport;:;;:;;19,630;;18,936;;19,172;;19,804;;21,971;;20,570;;17,631;;17,862;;:;;:;;:;;:;
GRONINGEN/EELDE airport - ANTALYA (MIL-CIV) airport;:;;:;;25,905;;32,321;;45,114;;42,874;;30,552;;:;;19,264;;18,984;;:;;:;;:;;:;
GRONINGEN/EELDE airport - MUGLA/DALAMAN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - MUGLA/MILAS-BODRUM airport;:;;:;;:;;:;;:;;17,235;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - SOUTHEND airport;:;;:;;:;;:;;12,777;;21,734;;24,717;;27,254;;55,272;;41,758;;:;;:;;:;;:;
GRONINGEN/EELDE airport - ABERDEEN/DYCE airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - LONDON STANSTED airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - INNSBRUCK airport;26,698;;28,525;;38,852;;43,129;;42,061;;42,730;;43,459;;46,262;;44,086;;45,726;;30,305;;:;;33,843;;46,466;
ROTTERDAM airport - SALZBURG airport;26,017;;24,387;;25,900;;25,770;;29,352;;26,521;;28,660;;36,641;;38,862;;43,039;;30,238;;:;;26,521;;41,040;
ROTTERDAM airport - WIEN-SCHWECHAT airport;:;;26,801;;40,438;;48,003;;46,782;;58,867;;97,334;;74,168;;50,121;;41,811;;:;;:;;:;;:;
ROTTERDAM airport - PRAHA/RUZYNE airport;:;;26,937;;38,169;;44,881;;49,257;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - BERLIN-BRANDENBURG airport;:;;:;;:;;:;;:;;:;;60,006;;50,162;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - HAMBURG airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - MUENCHEN airport;:;;:;;:;;48,780;;43,027;;37,858;;34,255;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - BERLIN-TEGEL airport;:;;:;;:;;:;;:;;45,424;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - KOBENHAVN/KASTRUP airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - IRAKLION/NIKOS KAZANTZAKIS airport;28,371;;28,470;;33,513;;31,428;;:;;:;;:;;:;;67,301;;50,793;;:;;23,098;;61,599;;55,118;
ROTTERDAM airport - KOS/IPPOKRATIS airport;16,382;;:;;:;;:;;:;;:;;:;;:;;:;;20,399;;:;;16,593;;39,134;;38,344;
ROTTERDAM airport - RODOS/DIAGORAS airport;15,334;;:;;:;;:;;:;;:;;:;;:;;:;;22,048;;:;;:;;20,893;;:;
ROTTERDAM airport - GRAN CANARIA airport;26,204;;24,532;;:;;:;;:;;:;;:;;29,886;;37,740;;29,637;;:;;:;;59,120;;70,693;
ROTTERDAM airport - LANZAROTE airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;33,145;;:;;:;;24,334;;:;
ROTTERDAM airport - TENERIFE SUR/REINA SOFIA airport;:;;:;;20,790;;:;;:;;21,647;;21,122;;28,740;;36,601;;37,792;;:;;:;;59,013;;67,612;
ROTTERDAM airport - ALICANTE airport;87,730;;93,395;;96,815;;102,106;;103,132;;107,412;;110,239;;138,263;;152,677;;171,907;;51,364;;84,053;;162,231;;186,335;
ROTTERDAM airport - ALMERIA airport;:;;:;;:;;:;;:;;:;;:;;:;;26,497;;25,842;;:;;:;;23,835;;22,344;
ROTTERDAM airport - BARCELONA/EL PRAT airport;47,263;;70,203;;75,129;;79,606;;78,162;;134,490;;154,152;;148,961;;112,564;;88,583;;:;;30,652;;89,748;;97,618;
ROTTERDAM airport - GIRONA airport;16,621;;22,980;;23,497;;23,792;;28,138;;26,796;;26,832;;54,950;;55,059;;60,659;;:;;31,459;;53,400;;61,853;
ROTTERDAM airport - IBIZA airport;:;;:;;:;;25,158;;42,968;;40,544;;52,311;;75,676;;82,580;;89,292;;:;;52,716;;87,656;;92,270;
ROTTERDAM airport - ADOLFO SUAREZ MADRID-BARAJAS airport;:;;33,640;;44,019;;53,261;;55,949;;51,070;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - MALAGA/COSTA DEL SOL airport;89,648;;96,630;;111,553;;116,538;;113,205;;116,035;;126,034;;155,935;;170,002;;171,613;;52,419;;83,898;;182,443;;203,946;
ROTTERDAM airport - PALMA DE MALLORCA airport;15,908;;:;;:;;31,224;;45,428;;38,617;;50,757;;67,739;;76,743;;81,824;;:;;27,555;;52,445;;51,357;
ROTTERDAM airport - VALENCIA airport;:;;:;;:;;30,868;;38,639;;:;;:;;31,638;;47,949;;48,066;;:;;21,582;;51,446;;59,542;
ROTTERDAM airport - BERGERAC-ROUMANIERE airport;17,880;;20,951;;23,416;;25,306;;38,628;;38,226;;:;;39,902;;46,206;;49,188;;:;;19,974;;36,415;;38,462;
ROTTERDAM airport - NICE-COTE D'AZUR airport;62,123;;63,054;;59,523;;59,378;;54,307;;61,498;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - MONTPELLIER MEDITERRANEE airport;:;;21,767;;23,797;;22,857;;21,824;;20,511;;20,740;;22,280;;:;;22,353;;:;;:;;:;;:;
ROTTERDAM airport - PARIS-CHARLES DE GAULLE airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - PARIS-ORLY airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - HYERES-LE PALYVESTRE airport;:;;21,918;;21,365;;20,147;;22,664;;20,664;;21,343;;24,238;;21,639;;25,744;;:;;:;;:;;:;
ROTTERDAM airport - DUBROVNIK/CILIPI airport;:;;:;;:;;:;;:;;:;;:;;:;;21,436;;23,763;;:;;:;;20,345;;25,927;
ROTTERDAM airport - PULA airport;:;;:;;:;;:;;:;;:;;:;;:;;21,148;;30,150;;:;;15,155;;26,223;;23,182;
ROTTERDAM airport - SPLIT/KASTELA airport;:;;:;;:;;:;;23,650;;29,436;;32,884;;36,977;;35,492;;43,346;;:;;26,637;;43,239;;45,306;
ROTTERDAM airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport;:;;:;;:;;34,953;;41,355;;53,324;;95,407;;72,589;;40,321;;:;;:;;:;;:;;:;
ROTTERDAM airport - DUBLIN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - BRINDISI/CASALE airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;20,398;;:;;:;;:;;21,155;
ROTTERDAM airport - MILANO/MALPENSA airport;:;;28,438;;30,393;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - BERGAMO/ORIO AL SERIO airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;26,750;
ROTTERDAM airport - VENEZIA/TESSERA airport;:;;:;;:;;:;;:;;:;;:;;36,544;;42,580;;:;;:;;:;;:;;:;
ROTTERDAM airport - ROMA/FIUMICINO airport;66,121;;70,437;;72,938;;74,618;;76,337;;73,980;;105,713;;86,003;;51,189;;40,632;;:;;:;;34,680;;47,486;
ROTTERDAM airport - PISA/S. GIUSTO airport;:;;:;;:;;:;;:;;:;;:;;27,979;;34,692;;37,609;;:;;:;;:;;:;
ROTTERDAM airport - FES/SAISS airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;21,559;
ROTTERDAM airport - NADOR/EL AROUI airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;27,588;;:;;16,522;;28,357;;34,755;
ROTTERDAM airport - MARRAKECH/MENARA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;21,762;
ROTTERDAM airport - AL HOCEIMA/CHERIF EL IDRISSI airport;:;;:;;:;;:;;:;;:;;:;;:;;24,568;;35,049;;:;;16,632;;31,455;;37,093;
ROTTERDAM airport - TANGER/IBN BATOUTA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;40,469;;:;;18,130;;27,676;;42,600;
ROTTERDAM airport - LUQA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - OSLO/GARDERMOEN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - FARO airport;100,518;;108,232;;118,199;;120,911;;112,315;;111,010;;121,494;;140,838;;154,318;;157,693;;70,777;;72,178;;142,573;;158,021;
ROTTERDAM airport - LISBOA airport;:;;:;;:;;:;;:;;:;;:;;:;;48,581;;52,380;;:;;22,851;;59,898;;68,876;
ROTTERDAM airport - STOCKHOLM/SKAVSTA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - ANTALYA (MIL-CIV) airport;57,314;;64,676;;64,126;;68,216;;38,939;;34,637;;:;;26,088;;60,766;;57,600;;:;;:;;116,447;;87,066;
ROTTERDAM airport - KAYSERI (MIL/CIV) airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;22,031;;:;;23,575;;43,480;;:;
ROTTERDAM airport - ISTANBUL/ATATURK airport;:;;:;;:;;:;;48,001;;78,508;;58,880;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - MUGLA/DALAMAN airport;15,787;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - MUGLA/MILAS-BODRUM airport;16,374;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - ISTANBUL/SABIHA GOKCEN airport;:;;:;;:;;27,753;;37,074;;:;;:;;:;;:;;50,198;;:;;:;;23,667;;48,088;
ROTTERDAM airport - MANCHESTER airport;:;;:;;:;;:;;:;;:;;28,537;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - LONDON LUTON airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - LONDON GATWICK airport;47,034;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - LONDON/CITY airport;115,764;;123,784;;113,196;;112,682;;158,959;;209,496;;219,222;;178,204;;172,617;;177,251;;27,441;;:;;112,276;;136,408;
ROTTERDAM airport - LONDON HEATHROW airport;:;;:;;:;;122,689;;113,757;;22,046;;:;;:;;:;;:;;:;;:;;:;;:;
ROTTERDAM airport - EDINBURGH airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;27,460;;26,744;
ROTTERDAM airport - LONDON STANSTED airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;;;;;;;;;
